Specimen #,Site,SiteID,Latitude,Longitude,Treatment,Date,Initials of Experimenter,Berry Mass,Plant Richness,Form Normal (Y/N),Notes
19176,Rising_River,site_25,46.801,-123.159,B,9/27/16,KB,0.7121,9,N,"Heart shaped, small"
12147,Rising_River,site_25,46.801,-123.159,O,8/2/16,EHB,8.5892,9,Y,None
12147,Rising_River,site_25,46.801,-123.159,O,8/4/16,EHB,7.5382,9,Y,None
7682,Rising_River,site_25,46.801,-123.159,O,8/4/16,EHB,3.2422,9,N,Burn
53833,Rising_River,site_25,46.801,-123.159,O,8/7/16,HH,4.6589,9,N,Pinched End of Fruit
53833,Rising_River,site_25,46.801,-123.159,O,8/7/16,HH,9.5342,9,N,Pinched End of Fruit
47829,Rising_River,site_25,46.801,-123.159,O,8/12/16,HH,6.0876,9,N,Pinched End of Fruit
47829,Rising_River,site_25,46.801,-123.159,O,8/12/16,HH,11.9647,9,Y,None
35289,Rising_River,site_25,46.801,-123.159,O,8/13/16,HH,6.0031,9,N,Burn
35289,Rising_River,site_25,46.801,-123.159,O,8/13/16,HH,5.4647,9,N,Burn
42123,Rising_River,site_25,46.801,-123.159,O,8/13/16,HH,6.9719,9,N,Burn
42123,Rising_River,site_25,46.801,-123.159,O,8/13/16,HH,8.5721,9,N,Burn
87932,Rising_River,site_25,46.801,-123.159,O,9/17/16,EHB,9.0942,9,Y,None
