Specimen #,Location,Treatment,Date,Initials of Experimenter,Berry Mass,Plant Richness,Form Normal (Y/N),Notes,,,,,,
56655,Camp Korey,B,8/15/16,EHB,3.462,10,Y,None,,,,,,,,,,,,,,,,,,,
56655,Camp Korey,B,8/15/16,EHB,4.2128,10,N,Dessicated,,,,,,,,,,,,,,,,,,,
47897,Camp Korey,B,8/15/16,EHB,2.5996,10,N,Burn,,,,,,,,,,,,,,,,,,,
89213,Sol to Seed,B,8/15/16,EHB,2.2819,9,N,Burn,,,,,,,,,,,,,,,,,,,
47897,Camp Korey,B,8/16/16,EHB,1.3565,10,N,Dessicated,,,,,,,,,,,,,,,,,,,
55442,Sol to Seed,B,8/16/16,EHB,6.5667,9,Y,None,,,,,,,,,,,,,,,,,,,
20456,Sol to Seed,B,8/16/16,EHB,6.0753,9,N,Dent,,,,,,,,,,,,,,,,,,,
50825,Sol to Seed,B,8/16/16,EHB,0.5617,9,N,Catface/Dessication,,,,,,,,,,,,,,,,,,,
69991,Wendell Berry/ Urban Futures Farm,B,8/16/16,EHB,2.9628,#N/A,N,Dessicated,,,,,,,,,,,,,,,,,,,
89796,Camp Korey,B,8/17/16,EHB,3.715,10,Y,None,,,,,,,,,,,,,,,,,,,
80377,Sol to Seed,B,8/17/16,EHB,4.3395,9,N,Dents (minor),,,,,,,,,,,,,,,,,,,
76870,Camp Korey,B,8/18/16,EHB,7.6593,10,N,One large lateral dent,,,,,,,,,,,,,,,,,,,
83008,Camp Korey,B,8/19/16,EHB,1.8976,10,N,Catfaced,,,,,,,,,,,,,,,,,,,
84407,Rainier Beach Urban Farm and Wetland,B,8/21/16,EHB,5.1599,#N/A,N,Dent (minor),,,,,,,,,,,,,,,,,,,
86551,Beacon Food Forest,B,8/21/16,EHB,6.2766,19,N,Catfaced,,,,,,,,,,,,,,,,,,,
56655,Camp Korey,B,8/21/16,EHB,3.6184,10,N,Catfaced,,,,,,,,,,,,,,,,,,,
63490,Beacon Food Forest,B,8/22/16,EHB,8.4933,19,Y,None,,,,,,,,,,,,,,,,,,,
66233,Rainier Beach Urban Farm and Wetland,B,8/22/16,EHB,4.6607,#N/A,Y,None,,,,,,,,,,,,,,,,,,,
83009,Beacon Food Forest,B,8/23/16,EHB,5.743,19,Y,None,,,,,,,,,,,,,,,,,,,
26586,Beacon Food Forest,B,8/23/16,EHB,2.0601,19,N,Catfaced,,,,,,,,,,,,,,,,,,,
